state,start,end,duration_min,delta_pct,mean_slope,min_slope,max_slope
IRRIGATE,2025-11-03 06:30:00,2025-11-03 06:54:00,24.0,0.7000000000000028,0.009259259259259254,-0.2333333333333342,0.2833333333333314
FILL,2025-11-03 10:18:00,2025-11-03 10:27:00,9.0,0.20000000000000284,0.0666666666666664,0.0,0.1999999999999981
FILL,2025-11-03 10:39:00,2025-11-03 10:45:00,6.0,0.04999999999999716,0.06111111111111076,-0.0666666666666676,0.1666666666666666
IRRIGATE,2025-11-03 14:51:00,2025-11-03 15:09:00,18.0,-0.3499999999999943,-0.03095238095238121,-0.2166666666666685,0.2166666666666685
IRRIGATE,2025-11-03 17:42:00,2025-11-03 17:54:00,12.0,-0.04999999999999716,-0.01333333333333352,-0.0833333333333333,0.0666666666666676
IRRIGATE,2025-11-03 19:45:00,2025-11-03 19:57:00,12.0,0.04999999999999716,-0.009999999999999398,-0.0666666666666676,0.1333333333333305
IRRIGATE,2025-11-03 21:57:00,2025-11-03 22:15:00,18.0,-0.5499999999999972,-0.03809523809523796,-0.2666666666666657,0.1666666666666666
IRRIGATE,2025-11-03 22:48:00,2025-11-03 23:03:00,15.0,-0.5,-0.05833333333333316,-0.2166666666666685,0.1749999999999971
IRRIGATE,2025-11-03 23:18:00,2025-11-03 23:42:00,24.0,-0.5999999999999943,-0.027777777777777773,-0.2833333333333314,0.2916666666666667
IRRIGATE,2025-11-03 23:51:00,2025-11-04 00:21:00,30.0,-0.7125000000000057,-0.028409090909090898,-0.2833333333333314,0.25
IRRIGATE,2025-11-04 00:33:00,2025-11-04 01:09:00,36.0,-0.5999999999999943,-0.020512820512820423,-0.2166666666666685,0.2833333333333361
IRRIGATE,2025-11-04 01:30:00,2025-11-04 01:45:00,15.0,0.19999999999998863,-0.030555555555556196,-0.25,0.2833333333333409
IRRIGATE,2025-11-04 02:15:00,2025-11-04 02:27:00,12.0,0.05000000000001137,-0.05,-0.2666666666666704,0.1333333333333352
IRRIGATE,2025-11-04 02:54:00,2025-11-04 03:24:00,30.0,-0.10000000000000853,-0.01515151515151516,-0.2833333333333314,0.25
IRRIGATE,2025-11-04 03:33:00,2025-11-04 03:45:00,12.0,-0.14166666666667993,-0.02833333333333312,-0.1847222222222294,0.2666666666666704
IRRIGATE,2025-11-04 04:24:00,2025-11-04 04:48:00,24.0,-1.2999999999999972,-0.05370370370370379,-0.2000000000000028,0.1666666666666666
IRRIGATE,2025-11-04 06:09:00,2025-11-04 06:39:00,30.0,-0.5499999999999972,-0.031818181818181704,-0.2166666666666638,0.25
IRRIGATE,2025-11-04 07:54:00,2025-11-04 08:06:00,12.0,0.04999999999999716,-0.04666666666666687,-0.25,0.1458333333333333
IRRIGATE,2025-11-04 08:27:00,2025-11-04 08:39:00,12.0,0.30000000000001137,-0.03333333333333331,-0.2666666666666704,0.25
IRRIGATE,2025-11-04 08:48:00,2025-11-04 09:15:00,27.0,-0.5,-0.0283333333333336,-0.2999999999999971,0.2666666666666657
IRRIGATE,2025-11-19 11:57:00,2025-11-19 12:27:00,30.0,-0.9666666666666828,-0.03838383838383877,-0.2833333333333361,0.1041666666666666
IRRIGATE,2025-11-19 14:48:00,2025-11-19 15:21:00,33.0,-0.8500000000000085,-0.03055555555555577,-0.2166666666666685,0.25
IRRIGATE,2025-11-19 16:00:00,2025-11-19 16:12:00,12.0,0.03333333333331723,-0.016666666666666646,-0.1685185185185199,0.1537037037037076
IRRIGATE,2025-11-19 16:33:00,2025-11-19 16:54:00,21.0,-0.5,-0.03750000000000024,-0.2833333333333361,0.1833333333333323
IRRIGATE,2025-11-19 17:27:00,2025-11-19 17:51:00,24.0,-0.6833333333333371,-0.037037037037037,-0.1444444444444457,0.1833333333333371
IRRIGATE,2025-11-19 18:03:00,2025-11-19 18:15:00,12.0,-0.6500000000000057,-0.05666666666666722,-0.25,0.2166666666666638
IRRIGATE,2025-11-19 19:21:00,2025-11-19 19:36:00,15.0,-0.3499999999999943,-0.027777777777777773,-0.1666666666666666,0.2166666666666638
IRRIGATE,2025-11-19 23:57:00,2025-11-20 00:42:00,45.0,-0.875,-0.026562499999999822,-0.2666666666666657,0.2666666666666657
IRRIGATE,2025-11-20 01:06:00,2025-11-20 01:54:00,48.0,-0.36666666666666003,-0.013725490196078478,-0.25,0.3000000000000019
IRRIGATE,2025-11-20 02:12:00,2025-11-20 02:33:00,21.0,-0.45781250000000284,-0.04199218749999999,-0.2833333333333314,0.1416666666666657
